Position,Track Name,Artist,Streams,URL,Date,Region,danceability,energy,speechiness,tempo,valence,acousticness,Artist Popularity,Label
88.0,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,26777.0,https://open.spotify.com/track/68EMU2RD1ECNeOeJ5qAXCV,2017-01-01,ar,0.728,0.563,0.134,100.017,0.35200000000000004,0.621,87.0,1
89.0,"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)",Farruko,25622.0,https://open.spotify.com/track/2FrnTVSHjgnEylKGdHRUK1,2017-01-01,ar,0.805,0.5820000000000001,0.0627,117.955,0.307,0.0971,87.0,1
90.0,Pájaro Cantor,Abel Pintos,25525.0,https://open.spotify.com/track/16rQTTMtbn0ODLyflr0O6Q,2017-01-01,ar,0.611,0.87,0.0347,142.003,0.847,0.115,71.0,1
91.0,Hasta Que Se Seque el Malecón - Remix,Jacob Forever,24999.0,https://open.spotify.com/track/6sMPwcpYtxm1mlgYbp1B0t,2017-01-01,ar,0.785,0.838,0.0381,100.066,0.765,0.362,67.0,1
92.0,Amor y dolor,Carlos Baute,24874.0,https://open.spotify.com/track/4efQTJSX6Jca1hHZNi74Zd,2017-01-01,ar,0.7709999999999999,0.825,0.0441,92.009,0.812,0.305,69.0,1
93.0,Si Te Vas,Agapornis,24819.0,https://open.spotify.com/track/3HoTiqEEY2SmTeq1XGINo3,2017-01-01,ar,0.69,0.706,0.0414,114.824,0.851,0.222,58.0,1
94.0,Papi Shampu,De La Calle,24369.0,https://open.spotify.com/track/0o221VNm4azkzYYLtxDGgV,2017-01-01,ar,0.629,0.763,0.0926,94.009,0.8859999999999999,0.0831,55.0,1
95.0,Ruleta Rusa,Kevin Roldan,24358.0,https://open.spotify.com/track/77KHmKnBmVGTjRCeMVXpWH,2017-01-01,ar,0.614,0.58,0.0588,120.092,0.63,0.308,73.0,1
96.0,Dale Tu Amor,Agapornis,24345.0,https://open.spotify.com/track/3W9HjL7lmbYXL4kQ1kicH3,2017-01-01,ar,0.703,0.848,0.0616,105.981,0.922,0.328,58.0,1
97.0,Me Reclama,Mambo Kingz,24260.0,https://open.spotify.com/track/4ojwGTehgBRAg52jbFgzJg,2017-01-01,ar,0.755,0.72,0.0826,175.93,0.713,0.348,85.0,1
98.0,Márchate ahora,Los Totora,24133.0,https://open.spotify.com/track/3voxukrHBXctzxdSbCycey,2017-01-01,ar,0.76,0.775,0.0784,101.946,0.754,0.14800000000000002,56.0,1
99.0,Bronceado,Marama,24077.0,https://open.spotify.com/track/4smbzhaRt7EYwO73SmFXyR,2017-01-01,ar,0.507,0.732,0.055,142.56799999999996,0.946,0.206,65.0,1
100.0,Te Vas - Version Cumbia,aLee DJ,23981.0,https://open.spotify.com/track/0j8zA8KrITjLVoAm3H3X6u,2017-01-01,ar,0.6459999999999999,0.784,0.0342,150.165,0.978,0.128,39.0,1
101.0,Bailando - Spanish Version,Enrique Iglesias,23646.0,https://open.spotify.com/track/32lm3769IRfcnrQV11LO4E,2017-01-01,ar,0.713,0.7829999999999999,0.124,90.937,0.958,0.0467,84.0,1
102.0,Llegaste tú (feat. Reykon),Sofia Reyes,23181.0,https://open.spotify.com/track/79Bm3DTEYuQsDpUVHbSRsL,2017-01-01,ar,0.698,0.868,0.0855,102.989,0.485,0.259,75.0,1
103.0,Por Fin Te Encontré,Cali Y El Dandee,23178.0,https://open.spotify.com/track/3GpvoKKWZyTwgbLEM9RmWM,2017-01-01,ar,0.6409999999999999,0.826,0.223,179.988,0.845,0.0536,74.0,1
104.0,Fuiste,Gilda,23090.0,https://open.spotify.com/track/3jxP1S0xXvPBry3scDZj6h,2017-01-01,ar,0.841,0.902,0.0308,98.044,0.942,0.534,55.0,1
105.0,No Me Arrepiento de Este Amor,Gilda,23046.0,https://open.spotify.com/track/6Bj9aK0jTMmjUp1y4Z7SVz,2017-01-01,ar,0.7709999999999999,0.852,0.0406,96.067,0.919,0.336,55.0,1
106.0,Encantadora - Remix,Yandel,22948.0,https://open.spotify.com/track/0EpFfFZpCuqYFzHvxOtrZS,2017-01-01,ar,0.644,0.895,0.0469,169.98,0.887,0.172,87.0,1
107.0,Si Te Dejas Llevar (feat. Juanka),Ozuna,22878.0,https://open.spotify.com/track/7rDi4fIeHSM3KAUYAKYMMN,2017-01-01,ar,0.745,0.8740000000000001,0.0465,81.98700000000002,0.85,0.097,95.0,1
